County,Democratic Active,Republican Active,Libertarian Active,No Party Active,Other Active,Total Active, Democratic Inactive,Republican Inactive,Libertarian Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,707,1975,23,1170,3,3878,224,432,12,835,3,1506,5384
Adams,391,1026,6,629,2,2054,96,209,0,447,0,752,2806
Allamakee,1601,3542,22,1888,5,7058,499,879,20,1359,5,2762,9820
Appanoose,1304,2976,30,1580,5,5895,572,836,23,1375,9,2815,8710
Audubon,732,1686,13,730,3,3164,184,345,7,464,2,1002,4166
Benton,3186,5660,63,5101,12,14022,787,1033,49,2673,13,4555,18577
Black Hawk,21082,18039,348,17158,77,56704,10662,4932,265,13241,118,29218,85922
Boone,4105,5573,81,4619,17,14395,1109,1333,58,3024,13,5537,19932
Bremer,3320,5021,51,4959,11,13362,937,1016,28,2508,7,4496,17858
Buchanan,2742,3553,43,3761,4,10103,690,685,26,2503,7,3911,14014
Buena Vista,1605,3382,31,1943,11,6972,1511,1201,35,2219,16,4982,11954
Butler,1409,4052,33,2007,10,7511,395,832,26,1348,5,2606,10117
Calhoun,886,2472,27,1565,2,4952,281,526,15,862,5,1689,6641
Carroll,2471,4690,67,3744,9,10981,775,1013,33,2006,7,3834,14815
Cass,1104,3853,25,1522,8,6512,416,1024,24,1437,8,2909,9421
Cedar,2549,3988,61,3081,9,9688,687,766,30,1676,14,3173,12861
Cerro Gordo,6443,7600,88,7117,21,21269,2349,1835,72,5325,39,9620,30889
Cherokee,892,3541,17,1325,3,5778,395,742,13,1131,6,2287,8065
Chickasaw,1641,2444,16,1916,1,6018,412,494,20,1209,8,2143,8161
Clarke,962,2007,23,1150,5,4147,436,493,19,1018,11,1977,6124
Clay,1449,4605,46,1998,16,8114,603,1232,38,1615,6,3494,11608
Clayton,2360,3825,44,2847,8,9084,654,888,26,1552,12,3132,12216
Clinton,6513,8053,102,7576,24,22268,2890,2099,91,6218,38,11336,33604
Crawford,1315,2981,27,1715,6,6044,1014,925,27,1795,15,3776,9820
Dallas,15990,20401,337,18636,45,55409,4417,4587,219,9708,50,18981,74390
Davis,979,1945,13,796,4,3737,267,450,11,655,5,1388,5125
Decatur,757,1691,16,777,4,3245,419,447,13,689,5,1573,4818
Delaware,1937,4261,35,3192,9,9434,504,740,17,1576,7,2844,12278
