"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2024,19001,7493,7321,"Iowa","IA",-0.022954757773922307,"Adair County","Adair County","adair-county-ia",569,12.866432337434095,0.0022776236927619102,88,12.866432337434095,569
2024,19003,3709,3487,"Iowa","IA",-0.059854408196279296,"Adams County","Adams County","adams-county-ia",423,8.243498817966904,0.0010848345603962275,99,8.243498817966904,423
2024,19005,14071,14130,"Iowa","IA",0.0041930211072418455,"Allamakee County","Allamakee County","allamakee-county-ia",639,22.112676056338028,0.004395959947920474,55,22.112676056338028,639
2024,19007,12287,12097,"Iowa","IA",-0.015463498006022647,"Appanoose County","Appanoose County","appanoose-county-ia",497,24.34004024144869,0.003763476821655625,62,24.34004024144869,497
2024,19009,5683,5493,"Iowa","IA",-0.03343304592644725,"Audubon County","Audubon County","audubon-county-ia",443,12.399548532731377,0.0017089177631937132,97,12.399548532731377,443
2024,19011,25549,25850,"Iowa","IA",0.01178128302477588,"Benton County","Benton County","benton-county-ia",716,36.10335195530726,0.008042148949309573,24,36.10335195530726,716
2024,19013,131044,130890,"Iowa","IA",-0.001175177802875349,"Black Hawk County","Black Hawk County","black-hawk-county-ia",566,231.25441696113074,0.04072096232012108,5,231.25441696113074,566
2024,19015,26698,26601,"Iowa","IA",-0.0036332309536294405,"Boone County","Boone County","boone-county-ia",570,46.66842105263158,0.008275791265012919,23,46.66842105263158,570
2024,19017,25011,25360,"Iowa","IA",0.01395386030146728,"Bremer County","Bremer County","bremer-county-ia",435,58.298850574712645,0.007889705893790745,26,58.298850574712645,435
2024,19019,20605,20693,"Iowa","IA",0.004270808056296982,"Buchanan County","Buchanan County","buchanan-county-ia",571,36.239929947460595,0.006437763567043056,30,36.239929947460595,571
2024,19021,20806,20490,"Iowa","IA",-0.015187926559646292,"Buena Vista County","Buena Vista County","buena-vista-county-ia",575,35.63478260869565,0.0063746085868995415,32,35.63478260869565,575
2024,19023,14333,14098,"Iowa","IA",-0.0163957301332589,"Butler County","Butler County","butler-county-ia",580,24.306896551724137,0.004386004483070265,56,24.306896551724137,580
2024,19025,9900,9801,"Iowa","IA",-0.010000000000000009,"Calhoun County","Calhoun County","calhoun-county-ia",570,17.194736842105264,0.0030491722186531188,75,17.194736842105264,570
2024,19027,20726,20503,"Iowa","IA",-0.010759432596738394,"Carroll County","Carroll County","carroll-county-ia",569,36.033391915641474,0.006378652994494939,31,36.033391915641474,569
2024,19029,13123,13123,"Iowa","IA",0,"Cass County","Cass County","cass-county-ia",564,23.2677304964539,0.0040826739134154555,58,23.2677304964539,564
2024,19031,18495,18251,"Iowa","IA",-0.013192754798594164,"Cedar County","Cedar County","cedar-county-ia",579,31.521588946459413,0.005678037155661471,38,31.521588946459413,579
2024,19033,43022,42386,"Iowa","IA",-0.014783134210404003,"Cerro Gordo County","Cerro Gordo County","cerro-gordo-county-ia",568,74.62323943661971,0.013186635410655147,13,74.62323943661971,568
2024,19035,11656,11720,"Iowa","IA",0.005490734385724005,"Cherokee County","Cherokee County","cherokee-county-ia",577,20.311958405545926,0.0036461890013890982,65,20.311958405545926,577
2024,19037,11988,11588,"Iowa","IA",-0.033366700033366725,"Chickasaw County","Chickasaw County","chickasaw-county-ia",504,22.99206349206349,0.0036051227088819858,66,22.99206349206349,504
2024,19039,9737,9533,"Iowa","IA",-0.020951011605217174,"Clarke County","Clarke County","clarke-county-ia",431,22.11832946635731,0.0029657952005326172,77,22.11832946635731,431
2024,19041,16336,16515,"Iowa","IA",0.010957394711067492,"Clay County","Clay County","clay-county-ia",567,29.126984126984127,0.005137953187537625,44,29.126984126984127,567
2024,19043,17033,16881,"Iowa","IA",-0.008923853695767092,"Clayton County","Clayton County","clayton-county-ia",778,21.697943444730075,0.005251818816761892,42,21.697943444730075,778
2024,19045,46427,46061,"Iowa","IA",-0.007883343743942062,"Clinton County","Clinton County","clinton-county-ia",695,66.2748201438849,0.014329958327046354,12,66.2748201438849,695
2024,19047,16484,15897,"Iowa","IA",-0.03561028876486294,"Crawford County","Crawford County","crawford-county-ia",714,22.264705882352942,0.0049456882726179605,47,22.264705882352942,714
2024,19049,100536,114038,"Iowa","IA",0.13430015118962357,"Dallas County","Dallas County","dallas-county-ia",588,193.9421768707483,0.035478165643379696,6,193.9421768707483,588
2024,19051,9111,9191,"Iowa","IA",0.008780594885303472,"Davis County","Davis County","davis-county-ia",502,18.308764940239044,0.002859396169946007,81,18.308764940239044,502
2024,19053,7606,7635,"Iowa","IA",0.003812779384696263,"Decatur County","Decatur County","decatur-county-ia",532,14.351503759398497,0.0023753116916045876,86,14.351503759398497,532
2024,19055,17458,17593,"Iowa","IA",0.007732844541184614,"Delaware County","Delaware County","delaware-county-ia",578,30.43771626297578,0.005473327909679045,40,30.43771626297578,578
2024,19057,38823,38264,"Iowa","IA",-0.014398681194137453,"Des Moines County","Des Moines County","des-moines-county-ia",416,91.98076923076923,0.011904247094637582,16,91.98076923076923,416
2024,19059,17767,18064,"Iowa","IA",0.01671638430798672,"Dickinson County","Dickinson County","dickinson-county-ia",381,47.41207349081365,0.005619859907943061,39,47.41207349081365,381
2024,19061,99308,99059,"Iowa","IA",-0.002507350868006575,"Dubuque County","Dubuque County","dubuque-county-ia",608,162.92598684210526,0.030818074768652108,8,162.92598684210526,608
2024,19063,9347,9244,"Iowa","IA",-0.011019578474376845,"Emmet County","Emmet County","emmet-county-ia",396,23.343434343434343,0.002875884908604166,79,23.343434343434343,396
2024,19065,19445,19154,"Iowa","IA",-0.014965286706094094,"Fayette County","Fayette County","fayette-county-ia",731,26.202462380300958,0.00595896792940331,35,26.202462380300958,731
2024,19067,15604,15304,"Iowa","IA",-0.019225839528326016,"Floyd County","Floyd County","floyd-county-ia",501,30.54690618762475,0.004761201064612522,48,30.54690618762475,501
2024,19069,10002,9804,"Iowa","IA",-0.019796040791841607,"Franklin County","Franklin County","franklin-county-ia",582,16.84536082474227,0.003050105543482826,74,16.84536082474227,582
2024,19071,6566,6441,"Iowa","IA",-0.01903746573256171,"Fremont County","Fremont County","fremont-county-ia",511,12.604696673189824,0.002003848409381159,94,12.604696673189824,511
2024,19073,8752,8458,"Iowa","IA",-0.033592321755027466,"Greene County","Greene County","greene-county-ia",570,14.83859649122807,0.002631353803220904,85,14.83859649122807,570
2024,19075,12333,12413,"Iowa","IA",0.006486661801670346,"Grundy County","Grundy County","grundy-county-ia",502,24.727091633466134,0.0038617870370514402,61,24.727091633466134,502
2024,19077,10612,10763,"Iowa","IA",0.01422917451941208,"Guthrie County","Guthrie County","guthrie-county-ia",591,18.21150592216582,0.0033484583807125313,67,18.21150592216582,591
2024,19079,15008,14655,"Iowa","IA",-0.023520788912579915,"Hamilton County","Hamilton County","hamilton-county-ia",577,25.398613518197575,0.004559291793119218,53,25.398613518197575,577
2024,19081,10754,10579,"Iowa","IA",-0.016273014692207544,"Hancock County","Hancock County","hancock-county-ia",571,18.527145359019265,0.0032912144578238285,68,18.527145359019265,571
2024,19083,16828,16312,"Iowa","IA",-0.03066318041359639,"Hardin County","Hardin County","hardin-county-ia",569,28.667838312829524,0.005074798207394111,45,28.667838312829524,569
2024,19085,14569,14660,"Iowa","IA",0.006246139062392686,"Harrison County","Harrison County","harrison-county-ia",697,21.03299856527977,0.004560847334502063,52,21.03299856527977,697
2024,19087,20447,18841,"Iowa","IA",-0.07854452975986692,"Henry County","Henry County","henry-county-ia",434,43.41244239631337,0.005861591038837202,36,43.41244239631337,434
2024,19089,9489,9243,"Iowa","IA",-0.025924754979449904,"Howard County","Howard County","howard-county-ia",473,19.54122621564482,0.002875573800327597,80,19.54122621564482,473
2024,19091,9599,9479,"Iowa","IA",-0.012501302218981158,"Humboldt County","Humboldt County","humboldt-county-ia",434,21.841013824884794,0.0029489953535978895,78,21.841013824884794,434
2024,19093,7022,6761,"Iowa","IA",-0.03716889774992882,"Ida County","Ida County","ida-county-ia",432,15.650462962962964,0.0021034030578832505,92,15.650462962962964,432
2024,19095,16658,16265,"Iowa","IA",-0.023592267979349213,"Iowa County","Iowa County","iowa-county-ia",586,27.755972696245735,0.005060176118395366,46,27.755972696245735,586
2024,19097,19455,19338,"Iowa","IA",-0.006013878180416321,"Jackson County","Jackson County","jackson-county-ia",636,30.40566037735849,0.006016211852292013,34,30.40566037735849,636
2024,19099,37810,37889,"Iowa","IA",0.0020893943401216752,"Jasper County","Jasper County","jasper-county-ia",730,51.9027397260274,0.011787581490924194,17,51.9027397260274,730
2024,19101,15694,15212,"Iowa","IA",-0.03071237415572825,"Jefferson County","Jefferson County","jefferson-county-ia",436,34.88990825688074,0.004732579103168171,49,34.88990825688074,436
2024,19103,153056,158141,"Iowa","IA",0.03322313401630783,"Johnson County","Johnson County","johnson-county-ia",613,257.978792822186,0.04919897396490387,4,257.978792822186,613
2024,19105,20653,20851,"Iowa","IA",0.009586984941654997,"Jones County","Jones County","jones-county-ia",576,36.19965277777778,0.006486918674740963,29,36.19965277777778,576
2024,19107,10004,9945,"Iowa","IA",-0.005897640943622551,"Keokuk County","Keokuk County","keokuk-county-ia",579,17.17616580310881,0.00309397181047906,73,17.17616580310881,579
2024,19109,14799,14327,"Iowa","IA",-0.03189404689506048,"Kossuth County","Kossuth County","kossuth-county-ia",973,14.724563206577596,0.004457248278404574,54,14.724563206577596,973
2024,19111,33533,32301,"Iowa","IA",-0.036739927832284636,"Lee County","Lee County","lee-county-ia",518,62.357142857142854,0.010049108441456423,22,62.357142857142854,518
2024,19113,230419,229004,"Iowa","IA",-0.006140986637386714,"Linn County","Linn County","linn-county-ia",717,319.3919107391911,0.07124503976741545,2,319.3919107391911,717
